name,ra,dec,vmag
,278.0081017459,-45.7573791802,5.0700
,160.8539875275,23.1884032683,5.0700
,57.0677782226,11.1432989280,5.0700
51 H. Cep,115.1270431189,87.0201050165,5.0700
,142.9899041852,9.7157653148,5.0700
,213.7380762865,-57.0861248349,5.0700
,48.1934856988,-1.1960988358,5.0700
,158.7000563406,6.9537502784,5.0700
,331.5081362081,45.0143473019,5.0700
,318.3354341919,-70.1262547099,5.0710
,355.8431615278,10.3315380206,5.0710
,81.1204040752,-0.8913348192,5.0720
,126.9024414906,-53.0884787560,5.0730
,69.9778376870,53.0795354042,5.0730
,275.5773891598,-38.6568961369,5.0730
,262.9911298304,68.1350252215,5.0740
,69.7884301087,15.7998364560,5.0760
,9.0346258155,54.1684499099,5.0760
,98.4080058208,-1.2201536770,5.0790
,326.2510611362,-9.0824276723,5.0790
,257.6763301143,-44.5576977583,5.0800
,110.4869241276,20.4436581325,5.0800
,258.8365985356,-26.6016992244,5.0800
,239.2228735005,-33.9661147545,5.0800
,76.5352197161,58.9723731174,5.0800
,341.0228279878,41.8192348148,5.0800
,358.1220326287,19.1202859855,5.0800
,213.1917622881,-27.2611855887,5.0800
,328.3240435189,-13.5517685289,5.0800
,111.5910411977,-51.0184806957,5.0810
,328.2657025920,25.9251358394,5.0810
,350.7690324778,12.3139101025,5.0810
,12.1475707814,-74.9234352795,5.0830
,147.4880858214,-45.7327369055,5.0840
,72.8435980465,18.8398571851,5.0850
,283.6796401973,-15.6030368566,5.0860
,325.0462918166,43.2738377488,5.0860
,286.7441787221,11.0712270383,5.0860
,159.0854975522,-59.5643938374,5.0880
,141.5748216577,-53.3789082504,5.0890
,8.1829390607,-63.0315005636,5.0900
,201.5325011047,-39.7550858315,5.0900
,184.0007773648,14.8990678957,5.0900
,75.0863436711,81.1940909933,5.0900
,52.5007617376,55.4518072415,5.0900
,244.2538931135,-50.0681214254,5.0900
Pleione,57.2967358241,24.1367101978,5.0900
,229.2370662915,-60.9572555773,5.0900
,104.0276913307,-14.0434309011,5.0900
,107.6978449386,-48.9320971152,5.0900
,170.8411727776,-18.7800355936,5.0900
,113.5775694042,-23.4736650119,5.0900
,58.4122808075,-34.7322973067,5.0920
,301.2895539278,19.9910730243,5.0930
,44.3220071737,31.9342204162,5.0930
,216.0472702701,5.8201275156,5.0940
,139.0959803443,-44.2657320988,5.0940
,174.8731920677,-65.3978054021,5.0950
,103.4260344551,68.8883110070,5.0960
,238.8733320451,-68.6030009463,5.0970
,172.9419526200,-59.4420606918,5.0970
,65.9659397000,9.4609705294,5.0980
,272.2202660955,20.0452329786,5.0990
,251.6666316675,-67.1096903700,5.1000
,267.2047758442,25.6228684170,5.1000
,157.5728345412,-0.6370318161,5.1000
,324.8886133021,2.2435609289,5.1000
,147.1473806187,46.0210073932,5.1000
,108.3846605984,-44.6397088589,5.1000
,310.0122680573,-18.1386574124,5.1000
,0.4560338029,-3.0275032833,5.1000
,270.3748498985,21.5953900966,5.1000
,237.8149665667,-3.0905062573,5.1000
,184.0958333333,14.8433333333,5.1000
,99.2200000000,4.8841666667,5.1000
,312.1214696712,-43.9884840600,5.1000
,242.7586179263,-29.4162186942,5.1020
,22.4005653839,-21.6293361033,5.1040
,149.4210601370,41.0556318851,5.1040
,29.3377398506,17.8175560146,5.1050
,358.0269715944,-82.0188232186,5.1060
,287.2911727526,76.5605038388,5.1070
,261.0544936782,-44.1625855534,5.1080
,28.5917996467,-42.4969283725,5.1090
,199.2213828338,-31.5062012747,5.1100
,177.1878447013,-26.7497778081,5.1100
,119.7738126243,-23.3103965337,5.1100
,109.6591058147,-36.7427374811,5.1100
,55.5388563098,63.2167968307,5.1100
,57.3861818133,33.0913645735,5.1100
,87.4730394682,-66.9011981982,5.1100
,173.2255362518,-31.0872253996,5.1100
,224.1832710517,-62.7810209348,5.1100
,233.8121609003,39.0100674186,5.1100
,292.6891507575,27.9652747552,5.1100
,331.2866239721,62.2798146028,5.1100
,221.5003404565,-25.4431776284,5.1100
,259.5028345792,-24.2869022134,5.1100
,132.6394192626,-46.5291875852,5.1100
,163.3935503273,54.5851273980,5.1110
,280.9455916034,-38.3234418961,5.1110
,188.9397158584,-41.0219467344,5.1140
,275.2542506876,28.8699513498,5.1150
,277.8595743540,-18.4026983271,5.1170
,334.1106323080,-41.6271817018,5.1170
,105.9086328421,10.9518176484,5.1170
,308.4794690527,-44.5160456191,5.1180
,278.7599692866,-10.9772063640,5.1190
,77.1820779672,-4.4562082862,5.1190
,142.6751574846,-40.4667576723,5.1200
Alathfar,276.0574401157,39.5072381075,5.1200
,121.0674562975,-32.6748304296,5.1200
,191.6615076790,16.5776878118,5.1200
,3.6151283607,-7.7805286858,5.1200
,61.1131789179,59.1555090745,5.1200
,76.6902199508,-4.6551669514,5.1200
,260.2258579215,24.4994357800,5.1200
,297.6416477125,38.7224180923,5.1200
,118.0652623582,-34.7054399180,5.1200
,110.5109066820,36.7605836024,5.1200
,293.7802410584,-10.5604426666,5.1200
,143.4355786394,-49.0050761273,5.1200
,310.0109895037,-60.5488940534,5.1210
,45.9034115832,-59.7377745910,5.1220
,126.4781960805,7.5645040481,5.1220
,102.7378712201,67.5719342231,5.1220
,119.4654964998,-45.5776690592,5.1230
,37.0070966560,-33.8110395407,5.1230
,243.8138240023,-47.3720198780,5.1240
,335.3982005739,-21.5982301141,5.1240
,345.8742310753,-34.7494154245,5.1240
,52.6019533327,11.3364394040,5.1240
,287.9190870874,56.8592055312,5.1250
,226.3298537185,-41.0672370890,5.1270
,123.4006369880,-46.9916283434,5.1270
,81.5802740550,-58.9125177834,5.1290
,9.1935044392,44.4885889380,5.1290
,300.4364357422,-59.3758963043,5.1300
,271.7566277537,30.5621069146,5.1300
,90.8640164247,19.6905628225,5.1300
,83.8186095697,-5.3897005033,5.1300
,345.0212550911,56.9453752434,5.1300
,233.7007299208,10.5377527753,5.1300
,18.6001695667,-7.9228258238,5.1300
,50.6885055611,20.7420671868,5.1300
,114.3195459426,-4.1109816313,5.1310
,298.3224089945,57.5234741390,5.1320
,359.7324145150,-52.7458062563,5.1330
,310.4878188868,-66.7606807165,5.1340
,30.5112593917,2.7638112889,5.1350
,121.2687043022,13.1182165126,5.1360
,137.0979153015,66.8732339353,5.1360
,225.9467901670,47.6539772391,5.1360
,172.1461615410,-42.6742055598,5.1360
,183.0497692192,77.6162411831,5.1370
,19.4498185640,3.6144690927,5.1370
,233.6554924000,-28.0470202606,5.1380
,185.2321349590,-13.5657268304,5.1390
,30.4265681201,-44.7135073152,5.1400
,102.4775681015,-46.6145615863,5.1400
,116.8763492685,33.4156968635,5.1400
,172.9533314481,-59.5156471164,5.1400
,214.8853322272,-2.2655163058,5.1400
,284.6518649393,-60.2005479014,5.1400
,247.7285916667,1.9842444444,5.1400
,174.5302898903,-61.8265312236,5.1400
,306.8300077705,-18.2116940082,5.1400
,347.3810724271,8.6771565650,5.1400
,153.3776346205,-66.3728111816,5.1410
,145.7382868587,72.2526176316,5.1420
,38.0257073797,36.1472725765,5.1440
,134.7181321565,-47.2346831309,5.1460
,185.5305793861,-67.5221035900,5.1460
,206.7347989756,-36.2519333476,5.1470
,320.7233893414,6.8111398382,5.1480
,132.9867942769,43.7266040012,5.1480
,158.7903905670,57.0826353653,5.1480
,94.4238501479,-16.8159086758,5.1480
,137.3397547845,22.0454383669,5.1490
,199.5604563802,49.6820636680,5.1500
,180.9148850616,-42.4340584485,5.1500
,251.4578831171,8.5826135246,5.1500
,291.5380288645,36.3178978187,5.1500
,288.4279216486,2.2936973049,5.1500
,268.3251130591,40.0079614731,5.1500
,127.3645143996,-44.7248121246,5.1500
Cervantes,266.0362630895,-51.8340532231,5.1500
,316.1794278189,-77.0237683556,5.1500
,174.2521849574,-61.2834433868,5.1500
,209.6297765106,-24.9722522760,5.1500
,292.6803949000,27.9596170028,5.1500
,196.9742202965,-10.7404087040,5.1510
,105.2145218006,-51.4025859708,5.1510
,17.7781804931,31.4247293475,5.1520
,318.9079147986,-20.6516952101,5.1520
,309.8537196077,0.4864319446,5.1530
,97.8460233977,-12.3919749110,5.1530
,347.9341258775,8.7201162511,5.1540
,278.0888794852,-39.7040007663,5.1550
,49.6572570530,50.2221763049,5.1570
,194.2681309359,-51.1987535821,5.1590
,208.6756047237,-1.5031227211,5.1590
,44.8030241801,21.3404273826,5.1600
,222.6715495024,-15.9972104278,5.1600
,179.0039754730,-17.1508244691,5.1600
,44.1559339085,-3.7123219263,5.1600
,241.0923141232,-11.3732074049,5.1600
,117.9249530283,1.7668684614,5.1600
,130.9178042393,-49.8228008320,5.1600
,291.3691778324,19.7983528275,5.1600
,134.8507569791,-59.0837117740,5.1600
,157.9875000000,-45.0680555556,5.1600
,343.1003102546,9.8356651160,5.1600
,304.6627999701,34.9827705521,5.1620
,117.4216726086,-17.2284084656,5.1620
,33.0928320539,30.3030703277,5.1620
,316.3093697174,-54.7270415563,5.1630
,77.9231836568,16.0456749732,5.1630
,181.9578155055,-75.3670180581,5.1650
,65.9202168130,-3.7454680670,5.1650
,356.8166517569,-50.2264588841,5.1660
,87.7217561832,-52.1088742288,5.1660
,84.9341699762,25.8970944514,5.1660
,39.5084715537,72.8182529425,5.1660
,5.3799927402,-28.9814702064,5.1670
,339.6580137705,56.7956327448,5.1670
,226.2007815241,-64.0313511514,5.1680
,294.1582368607,44.6949337673,5.1690
,41.2399226382,12.4457560731,5.1700
,106.0762891754,-56.7497022501,5.1700
,294.7985099906,5.3977722179,5.1700
,265.1753750000,-53.6743333333,5.1700
,17.0679289394,54.9201558892,5.1700
,35.5893096279,55.8456528759,5.1700
,101.1186129348,-31.0705256549,5.1700
,126.3805207893,-51.7274135370,5.1700
,231.4474890193,15.4280363511,5.1700
,233.6104758594,-9.1834389476,5.1700
,269.7720030389,-30.2530247363,5.1700
,171.4297691474,-63.9724770428,5.1700
,104.9605628119,-67.9164445257,5.1700
,232.1593209185,1.8420796482,5.1700
,115.9247042761,-40.9337464497,5.1700
,129.7829111304,-22.6618967578,5.1700
,125.6320541375,-48.4903859028,5.1700
,229.0167459971,-41.4911656980,5.1710
,61.6517191453,27.5999000416,5.1720
,283.1651873722,-52.1073697830,5.1730
,7.0569556050,44.3944692922,5.1730
,325.7668470246,72.3200855359,5.1730
,25.7327636534,70.6225255840,5.1740
,286.5831506131,-52.3409113497,5.1740
,303.8759943278,23.5089030749,5.1760
,125.3376850022,-36.4841768585,5.1760
,335.0070025958,-80.4397471342,5.1770
,223.8939985956,-60.1141653522,5.1800
,357.8389097361,-18.9091641404,5.1800
,116.6636682830,37.5173952219,5.1800
,86.4995625996,-32.3064339616,5.1800
,169.3225019580,2.0105558594,5.1800
,319.8425865584,64.8718570119,5.1800
,325.3869116933,-14.0476124423,5.1800
,345.6515956333,42.7577931361,5.1800
,157.3695953552,-2.7390757814,5.1800
,349.7779966590,-13.4588405540,5.1800
,119.9064262772,-60.5870621801,5.1800
,186.0772870957,26.0985892788,5.1800
,5.2802864133,37.9686054570,5.1800
,138.5855918193,61.4233169622,5.1800
,105.6032499688,24.2154462533,5.1810
,247.7056647871,-61.6335057533,5.1820
,313.9028707937,13.7215362732,5.1820
,122.3996405319,-44.1227674214,5.1830
,73.6953965534,11.4259830648,5.1840
,307.8766945670,74.9546260726,5.1850
,96.8073378185,0.2992441993,5.1860
,64.1795487926,53.6118002166,5.1870
,111.0352814954,40.6723888560,5.1880
,339.6627156620,63.5844713744,5.1880
,68.5484519042,-8.2313515537,5.1880
,303.5605397226,28.6948171729,5.1890
,299.9799808107,37.0428854614,5.1900
,127.3645208333,-44.7248194444,5.1900
,51.1689863248,64.5859944075,5.1900
,36.1038166423,50.0065433325,5.1900
,111.1674472184,-16.2014728469,5.1900
,167.1416576161,-61.9471756991,5.1900
,129.9899937402,-53.0547268409,5.1900
,106.0116360352,-42.3372866906,5.1900
,7.5943961641,-23.7876815028,5.1900
,12.5316206770,-10.6443288479,5.1900
,18.4328583432,7.5753599374,5.1900
,105.4849317168,-5.7220631310,5.1920
,290.7120231289,26.2624075945,5.1920
,261.5001797020,-50.6335066163,5.1930
,132.4645565623,-32.7805370140,5.1940
,100.4849385845,-9.1675347808,5.1940
,236.6666932167,62.5995564317,5.1940
,196.4351480784,35.7988999361,5.1950
,316.6028220699,-32.3416189585,5.1960
,97.3687422328,-56.8527668552,5.1970
,96.7036345973,58.4174080229,5.1970
,35.6357936203,-23.8167999620,5.1980
,193.6536839956,-57.1686649773,5.2000
,245.5892701386,33.7990522305,5.2000
,281.8706245725,-5.7051507255,5.2000
,226.6566521305,-16.2568186084,5.2000
,175.4331141515,-32.4994031195,5.2000
,146.6319357270,57.1280688807,5.2000
,88.7409423662,59.8883686548,5.2000
,82.9702191068,-76.3409016836,5.2000
,129.7715060668,-70.3867438775,5.2000
,89.7065613468,0.5529823367,5.2000
,301.5329166667,35.7791666667,5.2000
Antares B,247.3508333333,-26.4308333333,5.2000
,61.7519039747,29.0013081318,5.2000
,338.6734824421,-20.7082158103,5.2030
,76.8917785875,-63.3996798229,5.2050
,191.4044102619,7.6733249564,5.2070
,16.9492638661,-41.4868431357,5.2070
,80.4517356050,41.8045720426,5.2070
,96.0429975458,-11.5300876299,5.2070
,116.8812731131,-46.6084899239,5.2080
,69.4005525379,-2.4735488128,5.2090
,282.4171166573,-20.3246546402,5.2100
,185.1401749294,-22.2159004737,5.2100
,97.9512447326,11.5444117667,5.2100
,316.7247482896,38.7494173194,5.2100
,91.0562514051,-6.7089514981,5.2100
,40.1650556146,-54.5499119188,5.2100
,100.6013635149,17.6453018002,5.2100
,203.2419649669,-10.1649986301,5.2100
,8.8119986736,-3.5928435233,5.2100
,263.7484364267,61.8745116217,5.2100
,7.5306879769,29.7515577958,5.2140
,101.9148995444,48.7894843762,5.2160
,122.4298091606,-47.9371917881,5.2170
,237.5731117610,2.1965088901,5.2170
,281.9359072275,-40.4061659494,5.2170
,322.3622906933,46.5405855475,5.2170
,205.4365434499,-54.5594263131,5.2170
,63.6509691962,10.0114072006,5.2180
,171.3727230287,-36.0630619430,5.2190
,168.1883624982,-64.1697697673,5.2190
,45.2175459435,52.3517355895,5.2190
,350.6632130314,-15.0393401442,5.2200
,11.1849838527,-22.0061333670,5.2200
,134.8860607498,32.4185593068,5.2200
,151.5467162349,-47.3699959611,5.2200
,31.3814588841,76.1150601248,5.2200
,252.8905075218,-41.2305331999,5.2200
,134.3122903779,15.3227666001,5.2200
,130.0798989433,-40.2638712421,5.2200
,198.9948786209,-19.9431003622,5.2200
,112.0086451902,6.9419706076,5.2200
,286.8565913996,32.5017602035,5.2200
,221.7553902539,-52.3835172634,5.2200
,149.7178142626,-35.8909728992,5.2220
,232.3511246878,-46.7327051798,5.2220
,20.2807209046,28.7382071971,5.2230
,119.8682216340,-39.2969174154,5.2240
,12.6716098242,-50.9868172781,5.2250
,133.9153353855,27.9274821811,5.2250
,193.8689523507,65.4384742024,5.2250
,282.4704888288,32.5510602881,5.2260
,276.0759978721,-44.1102551612,5.2270
,130.4871238809,-45.4107117777,5.2270
,49.5534120100,-62.5063624197,5.2280
,161.6232839340,-64.2632371329,5.2290
,340.3693729439,40.2254471491,5.2290
,68.5490412086,-8.9702554695,5.2290
,80.8756501880,-13.9273529193,5.2290
,221.9366934131,-26.0875005345,5.2290
,246.9310708382,-7.5979291254,5.2300
,139.1739119719,-6.3531444179,5.2300
,54.0725171230,-17.4670756411,5.2300
,287.2496449508,6.0732177883,5.2300
,345.8870103719,67.2092106643,5.2300
,253.6487252586,-6.1539809565,5.2300
,214.9645946545,-61.2729738031,5.2300
,161.7394725148,-56.7571919161,5.2300
,44.6753145848,-2.7828970695,5.2300
,281.0949125487,39.6127146026,5.2300
,72.7279166667,-53.4561111111,5.2300
,197.8467328387,-43.3685550236,5.2310
,113.0247867806,1.9144796757,5.2330
,128.8148136936,-58.2247389868,5.2340
,83.9145173152,-4.8560665491,5.2340
,57.5789217512,25.5793744293,5.2340
,56.9152087263,-23.8746774630,5.2350
** STFA 21,187.2279260028,25.9128516148,5.2360
,304.2303570782,40.3650759035,5.2360
,116.5675051476,10.7682517050,5.2370
,243.4621094105,-11.8377478615,5.2390
,356.0503254261,-18.2769495630,5.2390
,2.9334211539,-35.1331147092,5.2390
,154.4075106021,-8.0689131208,5.2400
,25.6240105214,20.2685126827,5.2400
,325.5029045238,-23.2628571788,5.2400
,166.8195412733,-42.6386798925,5.2400
,136.9367064755,10.6681998852,5.2400
,213.0167069215,69.4325474884,5.2400
,251.9434167569,5.2467475936,5.2400
,235.6596520915,-37.4249392125,5.2400
,65.4721905751,-63.3863907636,5.2400
,163.3730509408,-20.1387294556,5.2400
,111.9348222073,21.4452790250,5.2400
,299.2762882881,-58.9013517071,5.2410
,264.5229807954,-54.5004338967,5.2420
,65.1512931840,15.0954528235,5.2420
,109.6396354729,-39.2102841972,5.2430
,247.6397853320,20.4791873643,5.2430
,281.4448641861,74.0855512053,5.2440
,245.1119067890,-78.6674960307,5.2470
,270.5960296910,20.8336352150,5.2490
,33.9845316767,33.3588978372,5.2490
,275.7043318958,17.8266165815,5.2490
,57.1478236956,-37.6220034473,5.2500
,80.8660111447,57.5443992073,5.2500
,99.1368212654,38.4455052838,5.2500
,163.1285250310,-57.2404050106,5.2500
,201.6798605863,-12.7076629045,5.2500
,138.6020243589,-43.2274894377,5.2500
,226.5696557226,54.5563179396,5.2500
,212.0720947992,49.4581656798,5.2500
,260.8169843344,-47.4681960227,5.2500
,56.1271271095,-1.1630909663,5.2500
,173.9816037980,-47.6416399352,5.2520
,94.9283334912,-7.8229059182,5.2520
,157.7696163534,82.5586517446,5.2520
,42.2561970581,-62.8065219516,5.2530
,234.1232245562,10.0101470532,5.2530
,98.0890730756,-37.6967237021,5.2530
,286.8255513621,36.1001590179,5.2530
,138.5749604073,-55.5696298412,5.2540
,139.5244634033,-51.0508566368,5.2540
,176.7317595251,55.6281890045,5.2540
,234.4566585743,40.3534346736,5.2540
,175.1961135292,21.3527274384,5.2550
,25.5359555724,-32.3269875461,5.2560
,46.6395599777,-6.0885497580,5.2560
,208.0202595996,-52.8115295392,5.2570
,355.6159269359,-15.4480289485,5.2570
,152.1781305355,-65.8154767480,5.2580
,99.4484087820,-32.3397334672,5.2580
,333.2938034779,86.1080032346,5.2580
,284.7739115842,13.6222428715,5.2580
,102.8876932621,21.7611452912,5.2590
,123.8163444536,-62.9156410858,5.2590
,33.2269583234,-30.7238260436,5.2600
,101.8391636721,-37.9296972275,5.2600
,98.8002590173,28.0223108039,5.2600
,149.5557307469,12.4448057298,5.2600
,318.2627844520,-39.4249193723,5.2600
,341.8880142930,-19.6133747514,5.2600
,284.9395176340,26.2304053738,5.2610
,22.5254229598,47.0072725344,5.2610
,113.4020119293,15.8266645106,5.2630
,180.2131631734,-19.6589811764,5.2640
,245.4529616091,69.1093929333,5.2640
,66.3542301957,22.1999987549,5.2640
,153.3451839189,-51.2329695844,5.2650
,304.8483511840,-19.1185253838,5.2650
,331.2520784900,62.7856711975,5.2650
,3.0416023516,-17.9382508125,5.2650
,223.5838691014,-24.6422042688,5.2660
,138.9574235064,56.7414071129,5.2660
,326.5181813620,22.9488790982,5.2660
,255.4015054041,33.5682684653,5.2670
,31.2809342804,77.2813400550,5.2680
,37.8753975526,2.2671829201,5.2690
,148.9291741491,49.8198430133,5.2690
,129.4673032981,-26.2550001261,5.2700
,270.7704937608,-8.1803523800,5.2700
,157.2190616760,-64.1722799583,5.2700
,65.1680234826,65.1404414752,5.2700
,300.3689347584,64.8209763293,5.2700
,176.4332007093,-45.6901336435,5.2710
,331.1975934140,-0.9063443785,5.2710
,228.6214947809,29.1642963733,5.2720
,178.6772432876,-25.7138844234,5.2720
,101.7128846556,-14.4259754830,5.2720
,16.4206005369,21.4731919000,5.2730
,37.9188460551,-79.1094160821,5.2750
,72.0011371775,56.7571769299,5.2750
,144.5907349421,40.2397933270,5.2760
,278.4906929592,-33.0165602690,5.2760
,284.2568193591,32.9013190517,5.2770
,255.7864733119,-53.2369360088,5.2780
,283.6964192508,-87.6058433139,5.2780
,299.0593829692,11.4237225223,5.2780
,29.9084902471,64.6216000375,5.2780
,131.8124409514,-1.8970368982,5.2790
,91.9234922694,-19.1658665530,5.2790
,274.7944976737,24.4460563979,5.2790
,125.5185481259,-73.3999793931,5.2790
,111.1827256523,-31.8089047444,5.2800
,105.9888134235,-43.6080349610,5.2800
,76.9516651361,20.4183764463,5.2800
,211.9823142082,43.8544523821,5.2800
,249.5018685851,56.0155626020,5.2800
,60.3835295860,-1.5496586449,5.2800
,289.6353982363,1.0851282085,5.2800
,24.6288245977,73.0400382157,5.2810
,71.0882430639,-59.7327378627,5.2820
,138.4508882421,43.2178316536,5.2820
,2.5090520436,-82.2240470806,5.2830
,289.4541632548,11.5954244212,5.2830
,85.5633102890,-34.6678166446,5.2830
,79.9959299667,-12.3155862644,5.2840
,66.5262962492,31.4389081935,5.2840
,323.0244829839,-41.1793100745,5.2860
,35.4859484993,0.3956723883,5.2870
,260.8399619944,-28.1428335434,5.2880
,109.7136405765,-26.5858558645,5.2880
,314.5681276759,22.3259073454,5.2880
,116.0288123786,25.7841601231,5.2890
,63.3878768587,7.7161159632,5.2900
,184.9529608151,48.9841463652,5.2900
,37.0415827921,29.6693293066,5.2900
,86.9287809988,13.8995960939,5.2900
,246.9889397733,-64.0579404215,5.2900
,336.1536891219,-72.2554133993,5.2900
,327.7273481324,-82.7189013957,5.2900
,88.7087138184,-52.6354806113,5.2900
,129.7829368917,-22.6618554667,5.2900
,34.7374731106,28.6426756236,5.2910
,39.3514526166,-52.5431089029,5.2930
,321.8390245144,37.1167961411,5.2930
,75.6791586172,-71.3142991719,5.2940
,346.9136133423,46.3872306075,5.2940
,295.1807626260,-16.2932706621,5.2960
,152.5245263185,-12.8159231890,5.2960
,40.1711501305,27.0609435487,5.2960
,70.6934316913,-50.4813348634,5.2980
,101.4974754610,-14.7961290197,5.2980
,70.7264017917,43.3651202112,5.2980
,299.9639876858,-34.6977994914,5.2990
,358.1546133520,10.9472867894,5.3000
,121.9410677140,21.5818130040,5.3000
,330.9707376844,63.1199208487,5.3000
,103.9455336033,-22.9414425961,5.3000
,46.0688203512,-7.6008551172,5.3000
,50.8049877360,49.2132707828,5.3000
,174.0562500000,-61.6116666667,5.3000
,294.1495833333,25.1252777778,5.3000
,91.8558333333,-6.0077777778,5.3000
,305.7945558069,5.3429816629,5.3010
,325.5643803916,5.6801387868,5.3010
,126.2655914779,-24.0462193772,5.3010
,86.6140518295,-46.5971829172,5.3020
,304.1961927828,24.6711013260,5.3020
,133.4608518346,-47.5206997568,5.3020
,355.1589533193,-32.0731241801,5.3030
,139.2378175065,-39.4015380137,5.3040
,287.4702837922,-68.4244494606,5.3050
,315.7414707994,-38.6314443732,5.3050
,145.1773427258,-57.9835092475,5.3070
,175.6181741433,66.7449064816,5.3080
,17.6638433603,68.7786226795,5.3090
,190.7094431552,-63.0586258282,5.3100
,132.3405243458,-3.4430253995,5.3100
,321.7150914122,48.8351666129,5.3100
,222.3293804098,-14.1490212702,5.3100
,123.0530017120,17.6476414755,5.3100
,295.6417011857,11.8265839671,5.3100
,183.5112393958,-45.7239161460,5.3100
,336.2348694556,-57.7974558879,5.3100
,34.8199871982,47.3799758983,5.3100
,26.4114880088,-25.0526117378,5.3100
,84.4359067898,-28.6896902526,5.3100
,108.0658625089,-40.4988209392,5.3100
,342.5950579207,-80.1238449568,5.3110
,185.8975813521,-35.4126766664,5.3110
,162.3142931509,10.5451995804,5.3120
,223.9362851044,-33.8557825232,5.3120
,201.3080271115,-64.4851491864,5.3120
,117.2569738557,-24.9122471438,5.3130
,69.3069819813,0.9983278096,5.3150
,176.9787304835,8.2458926881,5.3160
,317.1401042573,-21.1936707085,5.3160
,318.9368430980,-15.1715013381,5.3170
,245.6166482747,-49.5723523786,5.3180
,124.9540178656,-71.5149087050,5.3180
,193.9880567712,-56.8358057140,5.3200
,302.7997448709,-36.1012088127,5.3200
,168.9661671252,13.3075652663,5.3200
,213.7118697806,10.1006102046,5.3200
,97.2067206981,-7.0346533471,5.3200
,53.1094136031,46.0568615574,5.3200
,276.8021169423,0.1961135043,5.3200
HD 80951AB,139.3550411319,-74.8942794576,5.3200
,258.6632184270,14.3900022328,5.3220
,73.3448910134,2.5082244847,5.3240
,73.6990918001,7.7790963086,5.3240
,128.1770675107,20.4411622410,5.3250
,79.7967503951,2.5957999724,5.3250
,14.0062066204,-11.2665260451,5.3260
,83.5698893415,3.7669062670,5.3260
,93.8547015067,16.1431652842,5.3270
,132.6450672415,-66.7929830582,5.3290
,123.2032840903,68.4740732531,5.3290
,155.8720669876,-38.0098404218,5.3290
,297.9608777993,-39.8743717526,5.3300
,60.9358518910,5.4356182786,5.3300
,199.3151164337,13.6757518740,5.3300
,235.4475613982,12.8475260294,5.3300
,297.0049902460,-56.3626110060,5.3300
,198.5453964623,-19.9309456695,5.3300
,10.2799357521,39.4586637530,5.3300
,179.9065921542,-78.2218192389,5.3300
,300.4685906740,-66.9439643476,5.3310
,99.7049183308,39.9025595277,5.3310
,64.8195685672,-44.2679177966,5.3320
,216.2026034123,-24.8063098755,5.3320
,334.2001908859,-12.8314328824,5.3330
,95.4422095961,53.4521774008,5.3330
,253.2419074151,31.7016730045,5.3330
,313.4174390923,-39.8098636823,5.3340
,101.7062928061,57.1691758090,5.3350
,45.6762003943,-7.6854772790,5.3360
,293.6719226060,42.4125145475,5.3360
,327.5360703782,17.2856948048,5.3360
,108.8377838879,-30.6864493983,5.3370
,56.4185140292,6.0499959303,5.3370
,127.8988748342,18.0944181730,5.3370
,228.7973204644,4.9393554312,5.3370
,121.8251666510,-20.5543431515,5.3380
,335.0496523941,-7.8211019433,5.3390
,143.9145924739,35.8101325142,5.3400
,42.3231661530,17.4643126412,5.3400
,258.1158512084,10.5851556900,5.3400
,83.3810270557,-1.1560720701,5.3400
,161.5689471807,-64.5145617913,5.3400
,175.2625677943,34.2016337793,5.3400
,182.0612693097,-48.6925114013,5.3400
,275.7211476468,-36.6695555725,5.3400
,288.1696324390,-7.9395177180,5.3400
,26.4115293862,-25.0526146816,5.3400
,80.4426833333,-24.7729777778,5.3400
,270.7129109389,-24.2824672869,5.3400
,26.4969160053,-5.7332995405,5.3400
,83.1722958736,-1.5918320687,5.3400
,83.2481904770,-64.2275149160,5.3410
,87.8415984805,-7.5180030307,5.3410
,16.8277680090,-61.7752884197,5.3420
,108.5835947358,3.1114172639,5.3430
,43.4275711734,38.3374589017,5.3430
,333.1992678710,34.6045909933,5.3430
,21.5635933178,19.1723473930,5.3440
,355.3937023290,-18.0270743538,5.3440
,93.2127606120,65.7184211026,5.3440
,179.9871395801,3.6552046169,5.3450
,91.6462396753,38.4826467924,5.3450
,119.2408356143,-43.5004022665,5.3460
,284.0706302087,-42.7106730924,5.3460
,64.9029370391,21.7734907855,5.3460
,71.5072517068,11.7055867582,5.3460
,113.7866801176,30.9609179565,5.3470
,120.0489102855,73.9179176846,5.3470
,187.4888430066,58.4057411398,5.3470
,350.4788979706,31.8124654870,5.3480
,138.8077171376,14.9415088842,5.3480
,300.0137829906,17.5165079196,5.3500
,281.0957644236,39.6127947724,5.3500
,7.9429864000,54.5223119000,5.3500
,192.3072280542,83.4128978144,5.3500
,172.2671739414,39.3369712180,5.3500
,145.9329451054,14.0217030832,5.3500
,30.3113452776,-30.0018303537,5.3500
,354.7847152249,50.4717326488,5.3500
,93.9189030344,59.9989646874,5.3510
,161.4662278014,30.6823076273,5.3520
,94.7107604533,-9.3900182303,5.3520
,264.1568904175,48.5856325818,5.3530
,253.8423650344,18.4332120451,5.3540
,200.7546444516,-17.7352745572,5.3540
,122.8875184374,-7.7725390253,5.3540
,172.2671748042,39.3369755284,5.3540
